name, link, country, description, alternate-urls
BRO, https://www.broloket.nl/ondergrondgegevens, the Netherlands, TNO on behalf of the dutch government provides various datasets related to soil via this portal,https://www.pdok.nl/downloads/-/article/basisregistratie-ondergrond-bro-#6747516a1b0d01fe114771aed8bf0cac
eBod, https://bodenkarte.at/, Austria, Soil portal of Austria,
KOGIS, https://www.geo.admin.ch/boden, Switzerland, Switserland presents various geological and soil themes in this portal,
Grundvand, http://miljoegis.mim.dk/spatialmap?profile=grundvand, denmark, A series of soil related maps,
SoilmapBulgaria,http://www.issapp-pushkarov.org/,Bulgaria, Soil institute of Bulgaria makes available the national soil map,
ENVI atlas,http://envi.azo.hr/?topic=3,Croatia,map portal with various soil related themes,
INSPIRE Geoportal,https://inspire-geoportal.ec.europa.eu/,Europe,A portal which collects environmental data in the scope of INSPIRE directive from memberstates,https://inspire-geoportal.ec.europa.eu/GeoportalProxyWebServices/resources/OGCCSW202/?request=GetCapabilities&service=CSW&version=2.0.1
EEA data portal,https://www.eea.europa.eu/data-and-maps,Europe,A portal for envirnmental data,https://sdi.eea.europa.eu/catalogue/srv/eng/csw?request=GetCapabilities&service=CSW&version=2.0.1
ESDAC, https://esdac.jrc.ec.europa.eu/resource-type/datasets,Europe,
Eurostat, https://ec.europa.eu/eurostat/data/database,Europe,
Europian data portal, https://data.europa.eu,Europe,
Bonares, https://www.bonares.de/webportal,Europe,"The BonaRes Portal is a central product of the BonaRes Centre for soil research aiming at a central and targeted provision of research related information and services"
SoilBioStore,https://soilbiostore.au.dk/,Denmark,"Soil microarthropod and earthworm data collected by scientists at Department of Bioscience, Aarhus University. Other sources of soil fauna data will also be available",
ScotlandsSoils,https://soils.environment.gov.scot,Schotland,"Data and information on Scotlandâ€™s soils.",https://druid.hutton.ac.uk/arcgis/services/Hutton_SubsoilCompaction_Partial/MapServer/WMSServer?request=GetCapabilities&service=WMS
GeochemicalAtlasSweden,https://www.geodata.se/geodataportalen,Sweden,Goe chemical atlas Sweden,https://resource.sgu.se/service/atom/inspire/sgu-inspiredownload.xml
